"ID";"ISBN";"Título";"Categoria";"Autor";"Editora";"Volume";"Núm. Páginas";"Caixa";"Preço";"Status";"Status Integração";"Data Cadastro";"Data Publicação";"Emprestado Para"
"78";"9786555942460";"A Princesa E O Cavaleiro";"HQ";"";"";"2";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"79";"9786555941883";"A Princesa E O Cavaleiro";"HQ";"";"";"1";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"80";"9788588808416";"Bone";"HQ";"Jonathan C. Young";"Todavia";"1";"";"7";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"81";"9788588808904";"Bone";"HQ";"Jonathan C. Young";"Todavia";"2";"";"7";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"82";"9786580309412";"Bone";"HQ";"";"";"3";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"83";"9788582866290";"Reflexos Do Mundo Trabalhar E Viver";"HQ";"";"";"2";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"84";"9788582865774";"Reflexos Do Mundo Na Luta";"HQ";"";"";"1";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"85";"9788582865316";"Suzette";"HQ";"";"";"1";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"86";"9788560647668";"Os Filhos De Safari E Outros Mangas";"HQ";"";"";"1";"";"7";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"87";"9788535918328";"Tres Sombras";"HQ";"Cyril Pedrosa";"Quadrinhos Na Cia";"1";"";"8";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"88";"9788535928129";"Repeteco";"HQ";"Bryan Lee O'malley";"Quadrinhos Na Cia";"1";"";"8";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"89";"9786500357646";"Corso";"HQ";"Danilo Beyruth";"Comixzone";"1";"232";"9";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"90";"9788593695506";"Moonshadow";"HQ";"";"Editora Pipoca & Nanquim";"1";"";"8";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"91";"9788593695216";"Beasts Of Burden Caes Sabios E Homens Nefastos";"HQ";"";"Editora Pipoca & Nanquim";"1";"";"8";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"92";"9788593695575";"Beasts Of Burden Guardioes Da Vizinhanca";"HQ";"";"Editora Pipoca & Nanquim";"1";"";"8";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"93";"9788593695032";"Beasts Of Burden Rituais Animais";"HQ";"Evan Dorkin";"Evan Dorkin";"1";"";"8";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"94";"9788593695025";"Moby Dick";"HQ";"";"";"1";"";"8";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"95";"9786554480123";"Museu";"HQ";"";"";"1";"";"8";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"96";"9786589912576";"Yellow Cab";"HQ";"";"";"1";"";"8";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"97";"9786554482554";"Acender Uma Fogueira";"HQ";"";"";"1";"";"8";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"98";"9786589912200";"Jun";"HQ";"";"";"1";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"99";"9788593695292";"Solitario";"HQ";"";"";"1";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"100";"9781250258021";"Rainbow Rowell";"HQ";"Rainbow Rowell";"St. Martin's Press";"2";"356";"9";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"101";"9781250135025";"Rainbow Rowell";"HQ";"Rainbow Rowell";"Wednesday Books";"1";"528";"9";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"102";"9786558033035";"Mayara E Annabelle";"HQ";"";"";"1";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"103";"9786555140361";"A Casa";"HQ";"";"";"1";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"104";"9788575326213";"Rugas";"HQ";"";"";"1";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"105";"9788582866030";"Inesqueciveis";"HQ";"";"";"1";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"106";"9788582866610";"Inesqueciveis";"HQ";"";"";"2";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"107";"9786555140767";"Inverno No Zoo";"HQ";"Jiro Taniguchi";"";"1";"";"9";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"108";"9788580632927";"Mafalda";"HQ";"";"";"1";"";"9";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"109";"9788555340567";"A Louca Dos Gatos";"HQ";"Sarah Andersen";"Seguinte";"1";"";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"110";"9788555343032";"Esquisitona";"HQ";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"111";"9788555340215";"Ninguem Vira Adulto De Verdade";"HQ";"Sarah Andersen";"Seguinte";"1";"";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"112";"9788555340451";"Uma Bolota Molenga E Feliz";"HQ";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"113";"9786500276800";"Crisalida";"HQ";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"114";"9781338540574";"The Girl From The Sea";"HQ";"Lee Knox Ostertag";"Graphix";"1";"256";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"115";"9788555342370";"Nick E Charlie";"LIVRO";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"116";"9786558812227";"Tinha Tudo Pra Dar Errado";"LIVRO";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"117";"9781250183880";"Stargazing";"HQ";"Jen Wang";"First Second";"1";"224";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"118";"9781549303043";"Mooncakes";"HQ";"Suzanne Walker";"Lion Forge, Llc, The";"1";"256";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"119";"9788556511355";"Orbita De Inverno";"LIVRO";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"120";"9781626723634";"The Prince And The Dressmaker";"HQ";"Jen Wang";"";"1";"276";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"121";"9786559810833";"Luzes Do Norte";"LIVRO";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"122";"9786559811892";"Sombras Do Sul";"LIVRO";"";"";"1";"";"10";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"123";"9781534431454";"The Okay Witch";"HQ";"Emma Steinkellner";"Simon & Schuster Children's Publishing";"1";"272";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"124";"9781534431485";"The Okay Witch";"HQ";"Emma Steinkellner";"Aladdin";"2";"256";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"125";"9781338089516";"The Witch Boy";"HQ";"Lee Knox Ostertag";"Graphix, An Imprint Of Scholastic";"1";"";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"126";"9781338253757";"The Hidden Witch";"HQ";"Lee Knox Ostertag";"Scholastic Graphix";"2";"202";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"127";"9781338540550";"The Midwinter Witch";"HQ";"Lee Knox Ostertag";"Graphix, An Imprint Of Scholastic";"3";"";"10";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"128";"9788582866658";"Ulis";"HQ";"";"";"1";"";"0";"";"EMPRESTADO";"NAO_ENCONTRADO";"08/05/2026";"";"Leticia Costa"
"129";"9786500372410";"A Heranca Do Coronel";"HQ";"";"";"1";"";"11";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"130";"9788555341427";"Arlindo";"HQ";"Ilustralu";"";"1";"";"11";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"131";"9786500325850";"Preferencia Do Sistema";"HQ";"";"";"1";"";"11";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"132";"9788593695438";"Roseira Medalha E Engenho";"HQ";"Jefferson Costa";"";"1";"";"11";"";"COLECAO";"ENRIQUECIDO";"08/05/2026";"";""
"133";"976586672121";"Ogiva";"HQ";"";"";"1";"";"11";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"134";"9786586672701";"O Procurador";"HQ";"";"";"1";"";"11";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"135";"9786586672480";"Gatilho";"HQ";"";"";"1";"";"11";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
"136";"9786500057294";"A Grande Farsa";"HQ";"";"";"1";"";"11";"";"COLECAO";"NAO_ENCONTRADO";"08/05/2026";"";""
